0. Maximum Updated Date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.0 Updated Date Label (From Pipeline job date),,,,,,,,,,,,,,,
Row Labels,,,,,,,,,,,,,,,
2026-01-02,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.1 General (Recorded Date),,,,,,,,,,,,,,,
LATEST_DATE,LATEST INDEX,,,,,,,,,,,,,,
12/31/25,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.2 By Stage,,,,,,,,,,,,,,,
Row Labels,LATEST_DATE,LATEST INDEX,INDEX STAGE,FINAL ROW,,,,,,,,,,,
OK,22,,OH,99,,OH,41,,OH,88,,,,,
OR,97,,OK,22,,OK,5,,OK,15,,,,,
PA,37,,ORE,97,,ORE,8,,ORE,13,,,,,
RI,3,,PA,37,,PA,10,,PA,190,,,,,
SC,19,,RI,3,,RI,0,,RI,0,,,,,
SD,2,,SC,19,,SC,8,,SC,11,,,,,
TN,31,,SD,2,,SD,0,,SD,2,,,,,
TX,206,,TN,31,,TN,2,,TN,3,,,,,
UT,29,,TX,206,,TX,120,,TX,516,,,,,
VA,317,,UT,29,,UT,7,,UT,108,,,,,
VT,1,,VT,1,,VT,0,,VT,0,,,,,
WA,70,,VA,317,,VA,134,,VA,512,,,,,
WI,15,,WA,70,,WA,4,,WA,11,,,,,
WV,4,,West Virginia,4,,West Virginia,0,,West Virginia,1,,,,,
WY,12,,WI,15,,WI,12,,WI,37,,,,,
,,,WY,12,,WY,5,,WY,43,,,,,
,,,,,,,,,,,,,,,
5.2 Map Global Construction,,,,,,,,,,,,,,,
DATACENTER_STAGE,Construction,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STATE_CODE,COUNT,,,,,,,,,,,,,,
AL,6,,,,,,,,,,,,,,
AR,2,,,,,,,,,,,,,,
